ItemCode,ItemName,ds,y,inventario
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-01-01,1.0,215.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-02-01,3.0,212.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-03-01,14.0,197.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-04-01,66.0,1412.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-05-01,110.0,1302.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-06-01,0.0,1302.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-07-01,24.0,1596.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-08-01,72.0,1524.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-09-01,24.0,1524.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-10-01,-83.0,1607.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-11-01,84.0,1523.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2024-12-01,37.0,1474.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-01-01,12.0,1474.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-02-01,-16.0,1490.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,2025-03-01,0.0,1478.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-04-01,61.0,266.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-05-01,225.0,41.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-06-01,0.0,41.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-07-01,24.0,430.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-08-01,36.0,394.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-09-01,24.0,359.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-10-01,-96.0,455.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-11-01,24.0,427.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2024-12-01,64.0,367.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-01-01,0.0,355.0
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,2025-02-01,16.0,339.0
