ItemCode,ds,yhat,q10,q50,q90
ACEI-EUROL-SSINT-0018,2025-05,3.5116482,-3.7731972,2.8471053,11.905094
ACEI-EUROL-SSINT-0018,2025-06,1.1205448,-2.2998939,1.1767417,7.8668036
ACEI-EUROL-SSINT-0020,2025-04,0.19637993,-0.57433087,0.20428906,0.9756402
ACEI-EUROL-SSINT-0020,2025-05,0.14887498,-0.12977564,0.021586109,0.5301088
ACEI-EUROL-SSINT-0020,2025-06,0.16769157,-0.32118857,0.12470218,0.7990874
ADIT-EURO-LIMP-0001,2025-04,0.7210126,-0.46230668,0.583472,2.109632
ADIT-EURO-LIMP-0001,2025-05,1.0437508,-0.681474,0.97743255,3.1088943
ADIT-EURO-LIMP-0001,2025-06,0.5576991,-1.0874792,0.50873935,2.126014
ADIT-EURO-LIMP-0002,2025-04,38.635387,-19.272278,35.840256,97.01204
ADIT-EURO-LIMP-0002,2025-05,23.920338,-36.3727,26.435627,84.78024
ADIT-EURO-LIMP-0002,2025-06,26.327011,-27.51634,19.539076,76.53975
ADIT-EURO-LIMP-0003,2025-04,1.2093357,-1.9408443,1.1706371,3.4726954
ADIT-EURO-LIMP-0003,2025-05,0.7607002,-0.64385974,0.41532227,2.7748656
ADIT-EURO-LIMP-0003,2025-06,0.8412241,-0.17496985,0.6144439,2.0332813
ADIT-EURO-LIMP-0004,2025-04,2.6569932,-2.3429377,3.0891306,6.561942
ADIT-EURO-LIMP-0004,2025-05,1.5103424,-2.8340554,2.853493,9.952853
ADIT-EURO-LIMP-0004,2025-06,1.5300664,-3.6043892,2.368366,7.142568
ADIT-EURO-LIMP-0005,2025-04,1.7765268,-1.77946,1.9618734,5.1509724
ADIT-EURO-LIMP-0005,2025-05,1.8084831,-0.8081975,1.279805,4.5500536
ADIT-EURO-LIMP-0005,2025-06,0.79185045,-1.1793939,0.70029247,2.6459446
ADIT-EURO-LIMP-0006,2025-04,0.62303424,-0.2778707,0.7087359,1.8503535
ADIT-EURO-LIMP-0006,2025-05,0.73206335,-0.39462686,0.62614846,2.0160456
ADIT-EURO-LIMP-0006,2025-06,0.2797343,-0.42882523,0.23441795,1.5598507
LIQU-FREN-EIFFEL-0001,2025-04,3.9317932,-15.748684,6.795722,24.680946
LIQU-FREN-EIFFEL-0001,2025-05,3.8956623,-7.4173565,4.394075,14.622537
LIQU-FREN-EIFFEL-0001,2025-06,4.1008353,-4.483025,4.4477944,11.961864
LIQU-FREN-EIFFEL-0002,2025-04,1.1677012,-6.628147,0.6748333,9.781327
LIQU-FREN-EIFFEL-0002,2025-05,1.0147548,-4.3194914,1.0141476,5.9011254
LIQU-FREN-EIFFEL-0002,2025-06,2.0594437,-1.1015207,1.6180896,6.6378207
LIQU-FREN-EIFIL-0002,2025-04,0.0075673624,-0.017225996,0.0052742395,0.036262594
LIQU-FREN-EIFIL-0002,2025-05,-0.0003578937,-0.004335461,-0.0003404381,0.004067957
LIQU-FREN-EIFIL-0002,2025-06,-0.0017295582,-0.010377115,-0.0018859047,0.0051440946
LUBR-EIFFEL-GRASA-0001,2025-04,1.5317193,-7.888217,1.7842954,10.338488
LUBR-EIFFEL-GRASA-0001,2025-05,2.739049,-2.0638182,1.2563468,5.7432833
LUBR-EIFFEL-GRASA-0001,2025-06,1.1351492,-0.84127617,1.270752,4.4019556
LUBR-EIFFEL-GRASA-0002,2025-04,0.17489,-0.74394494,0.24118087,0.9565956
LUBR-EIFFEL-GRASA-0002,2025-05,0.18695055,-0.77897954,0.21631104,1.1984371
LUBR-EIFFEL-GRASA-0002,2025-06,0.028462702,-0.7357111,-0.0028064188,0.6650645
LUBR-EUROL-GRASA-0001,2025-04,9.86165,-3.6680086,7.0438533,22.438652
LUBR-EUROL-GRASA-0001,2025-05,2.6024024,-3.1015372,2.8842473,8.012329
LUBR-EUROL-GRASA-0001,2025-06,3.1720889,-2.662426,3.2432475,10.11027
